Name,Value,Weight
Product_359,819,1
Product_125,233,20
Product_495,564,1
Product_72,708,17
Product_112,500,6
Product_183,254,8
Product_337,901,4
Product_92,197,20
Product_380,777,18
Product_284,403,10
Product_178,149,11
Product_222,599,5
Product_135,692,9
Product_200,112,5
Product_300,876,3
Product_338,929,6
Product_258,643,20
Product_26,991,14
Product_104,982,20
Product_107,248,7
Product_314,147,19
Product_192,927,6
Product_209,234,8
Product_353,175,16
Product_463,499,15
Product_371,884,4
Product_246,208,3
Product_296,397,11
Product_1,333,15
Product_460,694,5
Product_24,470,18
Product_82,738,17
Product_347,208,20
Product_228,349,18
Product_128,664,20
Product_10,973,17
Product_492,861,3
Product_272,199,3
Product_385,601,8
Product_115,100,7
Product_373,277,9
Product_251,121,10
Product_186,285,11
Product_247,851,16
Product_257,887,7
Product_433,820,8
Product_436,601,9
Product_22,865,4
Product_269,348,12
Product_369,429,7
Product_442,287,11
Product_215,476,13
Product_211,922,13
Product_420,961,5
Product_417,788,15
Product_11,736,14
Product_473,308,7
Product_345,458,20
Product_326,328,16
Product_500,817,19
Product_424,705,20
Product_164,112,20
Product_476,306,6
Product_485,150,18
Product_241,787,4
Product_256,943,18
Product_239,613,14
Product_462,264,9
Product_486,334,15
Product_378,788,5
Product_182,821,1
Product_262,217,1
Product_264,434,17
Product_248,983,4
Product_465,282,20
Product_234,342,13
Product_152,766,1
Product_464,378,2
Product_400,182,12
Product_105,488,2
Product_85,691,1
Product_377,731,19
Product_335,497,6
Product_352,756,3
Product_276,682,2
Product_368,223,14
Product_71,321,6
Product_126,309,17
Product_290,679,8
Product_407,562,16
Product_119,516,1
Product_165,942,19
Product_278,849,1
Product_213,493,8
Product_150,818,8
Product_265,492,1
Product_231,159,10
Product_91,731,8
Product_261,284,8
Product_281,791,11
Product_389,390,19
Product_469,426,3
Product_144,725,9
Product_406,848,2
Product_218,419,4
Product_375,773,2
Product_35,134,2
Product_121,861,4
Product_40,778,10
Product_323,617,3
Product_418,108,11
Product_168,793,1
Product_478,823,19
Product_217,741,9
Product_201,410,3
Product_288,885,20
Product_340,402,12
Product_376,635,5
Product_472,520,12
Product_381,993,20
Product_196,807,14
Product_193,490,19
Product_137,419,17
Product_45,952,17
Product_430,609,15
Product_365,862,20
Product_181,638,8
Product_154,162,7
Product_87,423,3
Product_114,592,19
Product_171,439,10
Product_302,663,3
Product_151,157,10
Product_301,529,19
Product_84,741,9
Product_127,366,4
Product_397,686,3
Product_409,472,8
Product_63,499,2
Product_303,553,5
Product_188,160,7
Product_118,664,6
Product_52,407,11
Product_120,298,7
Product_253,457,20
Product_69,861,14
Product_494,952,2
Product_198,823,17
Product_399,242,16
Product_431,366,13
Product_33,164,10
Product_57,390,14
Product_58,813,9
Product_208,274,4
Product_349,139,6
Product_306,283,9
Product_271,254,2
Product_408,986,20
Product_160,964,20
Product_238,310,11
Product_394,228,8
Product_75,271,17
Product_100,945,9
Product_402,447,15
Product_226,970,16
Product_66,608,7
Product_330,110,5
Product_230,737,9
Product_362,534,15
Product_130,285,15
Product_425,858,11
Product_403,647,15
Product_483,603,17
Product_350,943,6
Product_109,872,10
Product_139,243,9
Product_496,109,9
Product_310,560,11
Product_291,271,17
Product_273,798,19
Product_448,187,6
Product_73,459,4
Product_148,321,10
Product_179,331,16
Product_94,973,9
Product_356,897,16
Product_429,478,18
Product_481,901,10
Product_123,129,10
Product_308,383,4
Product_36,602,8
Product_435,127,3
Product_5,281,2
Product_70,840,17
Product_140,259,3
Product_295,636,10
Product_333,822,6
Product_31,293,14
Product_210,344,7
Product_42,561,15
Product_457,496,6
Product_43,268,12
Product_78,149,19
Product_205,783,4
Product_237,358,10
Product_438,921,9
Product_275,321,5
Product_343,708,8
Product_454,281,14
Product_299,603,4
Product_177,613,8
Product_325,282,4
Product_242,194,10
Product_384,273,15
Product_60,393,14
Product_97,284,2
Product_267,110,6
Product_364,737,15
Product_169,995,1
Product_479,126,20
Product_450,341,15
Product_344,243,12
Product_117,255,10
Product_13,732,9
Product_44,865,11
Product_93,737,6
Product_444,198,6
Product_136,633,15
Product_161,712,8
Product_285,820,12
Product_48,558,18
Product_471,996,7
Product_451,510,20
Product_53,579,9
Product_393,404,1
Product_49,601,14
Product_432,470,6
Product_437,507,6
Product_252,100,15
Product_124,932,19
Product_348,303,9
Product_461,685,13
